Contig,Gene,log2-fold change (after/before drought),TAIR or Pfam ID,Symbol,Protein product of domain type
m01oak37045Cz,,-3.05,,,
m01oak69073cC,m01oak69073cC-t01.1,-3.05,F:PF05153,DUF706,Family of unknown function (DUF706)
m01oak62303Cz,,-3.05,,,
m01oak15092Cz,,-3.05,,,
m01oak22692cC,m01oak22692cC-t01.1,-3.05,AT1G14280,PKS2,phytochrome kinase substrate 2
m01oak49387Cz,,-3.05,,,
m01oak22368Cz,,-3.05,,,
m01oak04837CC,m01oak04837CC-t01.1,-3.05,F:PF11995 D:PF00225,DUF3490 Kinesin,Domain of unknown function (DUF3490) ~ Kinesin motor domain
m01oak57902Cz,,-3.05,,,
m01oak23989Cz,,-3.05,,,
m01oak41744Cz,,-3.05,,,
m01oak59153Cz,,-3.05,,,
m01oak49114Cz,,-3.05,,,
m01oak26663cC,m01oak26663cC-t01.1,-3.05,AT3G56550,,Pentatricopeptide repeat (PPR) superfamily protein
m01oak79899CI,m01oak79899CI-t01.1,-3.05,F:PF07727,RVT_2,Reverse transcriptase (RNA-dependent DNA polymerase)
m01oak02089CI,m01oak02089CI-t01.1,-3.05,AT1G22850,,SNARE associated Golgi protein family
m01oak31515Cz,,-3.05,,,
m01oak14391CF,,-3.05,,,
m01oak57820Cz,,-3.05,,,
m01oak27522Cz,,-3.05,,,
m01oak11060cC,m01oak11060cC-t01.1,-3.05,AT2G39740,,Nucleotidyltransferase family protein
m01oak48109Jz,,-3.05,,,
m01oak69502Jz,,-3.05,,,
m01oak62167Cz,,-3.05,,,
m01oak62336Cz,,-3.05,,,
m01oak00282CC,m01oak00282CC-t01.1,-3.05,AT1G66240,ATX1,homolog of anti-oxidant 1
m01oak37849Cz,,-3.05,,,
m01oak28863Cz,,-3.05,,,
m01oak39958Cz,,-3.05,,,
m01oak25186Cz,,-3.06,,,
m01oak72426Cz,,-3.06,,,
m01oak70445Cz,,-3.06,,,
m01oak13779cC,m01oak13779cC-t01.1,-3.06,F:PF04398,DUF538,"Protein of unknown function, DUF538"
m01oak20456Ct,,-3.06,,,
m01oak41971CC,m01oak41971CC-t01.1,-3.06,D:PF13962,PGG,Domain of unknown function
m01oak20339CI,m01oak20339CI-t01.1,-3.06,D:PF12874,zf-met,Zinc-finger of C2H2 type
m01oak02709CC,m01oak02709CC-t01.1,-3.06,AT4G35780,,ACT-like protein tyrosine kinase family protein
m01oak72337Cz,,-3.06,,,
m01oak50499Cz,,-3.06,,,
m01oak43596Cz,,-3.06,,,
m01oak62123Cz,,-3.06,,,
m01oak56735Cz,,-3.06,,,
m01oak32070Cz,,-3.06,,,
m01oak76437Cz,,-3.06,,,
m01oak64385Cz,,-3.06,,,
m01oak21800Ct,m01oak21800Ct-t01.1,-3.06,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak36370Jz,,-3.06,,,
m01oak28198cf,m01oak28198cf-t01.1,-3.06,D:PF00135 D:PF07859,COesterase Abhydrolase_3,Carboxylesterase family ~ alpha/beta hydrolase fold
m01oak64154Cz,,-3.06,,,
m01oak26241Cz,,-3.06,,,
m01oak60802Cz,,-3.06,,,
m01oak27774CC,m01oak27774CC-t01.1,-3.06,F:PF05368 D:PF13460 F:PF01073,NmrA NAD_binding_10 3Beta_HSD,NmrA-like family ~ NADH(P)-binding ~ 3-beta hydroxysteroid dehydrogenase/isomerase family
m01oak51452Cz,,-3.06,,,
m01oak25227Jz,,-3.06,,,
m01oak48576ct,,-3.06,,,
m01oak27275Cz,,-3.06,,,
m01oak15435Cz,,-3.06,,,
m01oak29672JC,m01oak29672JC-t01.1,-3.06,AT1G31790,,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak41606Cz,,-3.06,,,
m01oak58513Cz,,-3.06,,,
m01oak22799CC,m01oak22799CC-t01.1,-3.06,F:PF03181,BURP,BURP domain
m01oak44367Cz,,-3.06,,,
m01oak25242cF,m01oak25242cF-t01.1,-3.06,D:PF13401 D:PF00931,AAA_22 NB-ARC,AAA domain ~ NB-ARC domain
m01oak53187Cz,,-3.06,,,
m01oak76358Cz,,-3.06,,,
m01oak27650Cz,,-3.07,,,
m01oak58307Cz,,-3.07,,,
m01oak14935cC,m01oak14935cC-t01.1,-3.07,AT5G50130,,NAD(P)-binding Rossmann-fold superfamily protein
m01oak34627Cz,,-3.07,,,
m01oak06030cf,m01oak06030cf-t01.1,-3.07,AT3G15620,UVR3,DNA photolyase family protein
m01oak46509Cz,,-3.07,,,
m01oak44454Cz,,-3.07,,,
m01oak17973CC,,-3.07,,,
m01oak10185cF,m01oak10185cF-t01.1,-3.07,AT4G37650,SHR,GRAS family transcription factor
m01oak17995cf,m01oak17995cf-t01.1,-3.07,AT2G44740,CYCP4;1,cyclin p4;1
m01oak46448Cz,,-3.07,,,
m01oak16385cC,m01oak16385cC-t01.1,-3.07,AT1G12550,,D-isomer specific 2-hydroxyacid dehydrogenase family protein
m01oak27066Cz,,-3.07,,,
m01oak45661Cz,,-3.07,,,
m01oak57791Cz,,-3.07,,,
m01oak44150Cz,,-3.07,,,
m01oak30846Jz,,-3.07,,,
m01oak27529Jz,,-3.07,,,
m01oak77143Jz,,-3.07,,,
m01oak59811Cz,,-3.07,,,
m01oak36939Cz,,-3.07,,,
m01oak26051Cz,,-3.07,,,
m01oak55012Cz,,-3.07,,,
m01oak17472jC,,-3.07,,,
m01oak25587Cz,,-3.07,,,
m01oak13980Cz,,-3.07,,,
m01oak09713Cz,,-3.07,,,
m01oak27476cF,,-3.07,,,
m01oak62554Cz,,-3.07,,,
m01oak13387Cz,,-3.07,,,
m01oak10815Ci,m01oak10815Ci-t01.1,-3.07,r:PF00560,LRR_1,Leucine Rich Repeat
m01oak21291Cz,,-3.07,,,
m01oak32002Cz,,-3.07,,,
m01oak32711Cz,,-3.07,,,
m01oak39531cF,m01oak39531cF-t01.1,-3.07,F:PF01554,MatE,MatE
m01oak50997Cz,,-3.07,,,
m01oak42388Cz,,-3.08,,,
m01oak36396Ci,,-3.08,,,
m01oak47991Jz,m01oak47991Jz-t01.1,-3.08,D:PF00931,NB-ARC,NB-ARC domain
m01oak24617Cz,m01oak24617Cz-t01.1,-3.08,D:PF01269,Fibrillarin,Fibrillarin
m01oak57623Cz,,-3.08,,,
m01oak77908Cz,,-3.08,,,
m01oak29268Cz,,-3.08,,,
m01oak59549Cz,,-3.08,,,
m01oak14077Cz,,-3.08,,,
m01oak32722cf,m01oak32722cf-t01.1,-3.08,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak01268cF,m01oak01268cF-t01.1,-3.08,D:PF00135 D:PF07859,COesterase Abhydrolase_3,Carboxylesterase family ~ alpha/beta hydrolase fold
m01oak32137Cz,,-3.08,,,
m01oak71377Cz,,-3.08,,,
m01oak23094Cz,,-3.08,,,
m01oak03478CC,m01oak03478CC-t01.1,-3.08,D:PF13921 D:PF00249,2x:Myb_DNA-bind_6 2x:Myb_DNA-binding,Myb-like DNA-binding domain ~ Myb-like DNA-binding domain
m01oak24951Cz,,-3.08,,,
m01oak15231cC,m01oak15231cC-t01.1,-3.08,AT3G07210,,unknown protein
m01oak30539Jt,,-3.08,,,
m01oak25672Cz,,-3.08,,,
m01oak03891Cz,,-3.08,,,
m01oak27445Ct,m01oak27445Ct-t01.1,-3.08,r:PF12854 r:PF13041 r:PF13812 F:PF01535,2x:PPR_1 PPR_2 2x:PPR_3 2x:PPR,PPR repeat ~ PPR repeat family ~ Pentatricopeptide repeat domain ~ PPR repeat
m01oak65836Cz,,-3.08,,,
m01oak27804Cz,,-3.08,,,
m01oak81427Cz,,-3.08,,,
m01oak40637Cz,,-3.08,,,
m01oak57826Cz,,-3.08,,,
m01oak38146Cz,,-3.08,,,
m01oak21584Cz,,-3.08,,,
m01oak11988jC,m01oak11988jC-t01.1,-3.08,F:PF04827 D:PF13359,Plant_tran DDE_Tnp_4,Plant transposon protein ~ DDE superfamily endonuclease
m01oak19874Cz,,-3.08,,,
m01oak36795Cz,,-3.08,,,
m01oak03015cF,m01oak03015cF-t01.1,-3.08,AT3G48500,PDE312,"Nucleic acid-binding, OB-fold-like protein"
m01oak22964cC,m01oak22964cC-t01.1,-3.08,F:PF00201,UDPGT,UDP-glucoronosyl and UDP-glucosyl transferase
m01oak29775Cz,,-3.08,,,
m01oak02412CC,m01oak02412CC-t01.1,-3.08,AT4G12060,,Double Clp-N motif protein
m01oak28117Cz,,-3.08,,,
m01oak58861Cz,,-3.08,,,
m01oak11734CT,m01oak11734CT-t01.1,-3.08,AT5G14660,PDF1B,peptide deformylase 1B
m01oak58399Cz,,-3.08,,,
m01oak83240Cz,,-3.08,,,
m01oak22447Cz,,-3.08,,,
m01oak32126Cz,,-3.08,,,
m01oak24777Cz,,-3.08,,,
m01oak09744Cz,m01oak09744Cz-t01.1,-3.08,F:PF04690,YABBY,YABBY protein
m01oak47990Cz,,-3.09,,,
m01oak31106Cz,,-3.09,,,
m01oak20072Cz,,-3.09,,,
m01oak32824Cz,,-3.09,,,
m01oak12730Jt,m01oak12730Jt-t01.1,-3.09,r:PF07725 D:PF05729 F:PF12799 r:PF13855 D:PF00931 r:PF00560,LRR_3 NACHT LRR_4 2x:LRR_8 NB-ARC 3x:LRR_1,Leucine Rich Repeat ~ NACHT domain ~ Leucine Rich repeats (2 copies) ~ Leucine rich repeat ~ NB-ARC domain ~ Leucine Rich Repeat
m01oak12663cT,m01oak12663cT-t01.1,-3.09,F:PF00481,PP2C,Protein phosphatase 2C
m01oak44033Cz,,-3.09,,,
m01oak29174Cz,,-3.09,,,
m01oak04573cC,m01oak04573cC-t01.1,-3.09,D:PF13561 F:PF08659 D:PF00106,adh_short_C2 KR adh_short,Enoyl-(Acyl carrier protein) reductase ~ KR domain ~ short chain dehydrogenase
m01oak54954Cz,,-3.09,,,
m01oak14964Cz,,-3.09,,,
m01oak69748Jz,,-3.09,,,
m01oak22559Cz,,-3.09,,,
m01oak01644Cz,,-3.09,,,
m01oak19358Ci,m01oak19358Ci-t01.1,-3.09,D:PF00931,NB-ARC,NB-ARC domain
m01oak54135ci,,-3.09,,,
m01oak22432Cz,,-3.09,,,
m01oak06636Cz,m01oak06636Cz-t01.1,-3.09,D:PF02152,FolB,Dihydroneopterin aldolase
m01oak51207Cz,,-3.09,,,
m01oak03127cT,m01oak03127cT-t01.1,-3.09,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak01275CT,m01oak01275CT-t01.1,-3.09,AT1G72230,,Cupredoxin superfamily protein
m01oak76361Cz,,-3.09,,,
m01oak44268Cz,,-3.09,,,
m01oak14342cC,m01oak14342cC-t01.1,-3.09,AT4G02670,IDD12,indeterminate (ID)-domain 12
m01oak13241jf,m01oak13241jf-t01.1,-3.09,AT2G26900,,Sodium Bile acid symporter family
m01oak08281CC,m01oak08281CC-t01.1,-3.09,AT2G37970,SOUL-1,SOUL heme-binding family protein
m01oak63703cF,m01oak63703cF-t01.1,-3.09,F:PF01657,Stress-antifung,Salt stress response/antifungal
m01oak26646Cz,,-3.09,,,
m01oak41081Cz,,-3.09,,,
m01oak74719Cz,,-3.09,,,
m01oak25615cC,m01oak25615cC-t01.1,-3.09,D:PF03101,FAR1,FAR1 DNA-binding domain
m01oak04403Jz,,-3.09,,,
m01oak19536Cz,,-3.09,,,
m01oak49438Cz,,-3.09,,,
m01oak62592Cz,,-3.09,,,
m01oak46694CT,,-3.09,,,
m01oak79411Cz,,-3.10,,,
m01oak05891Cf,m01oak05891Cf-t01.1,-3.10,D:PF00450,Peptidase_S10,Serine carboxypeptidase
m01oak27885cC,m01oak27885cC-t01.1,-3.10,F:PF11995 D:PF00225,DUF3490 Kinesin,Domain of unknown function (DUF3490) ~ Kinesin motor domain
m01oak45371cC,m01oak45371cC-t01.1,-3.10,D:PF00067,p450,Cytochrome P450
m01oak34699Cz,,-3.10,,,
m01oak58156Cz,,-3.10,,,
m01oak37133Cz,,-3.10,,,
m01oak44369Cz,,-3.10,,,
m01oak22657Cz,,-3.10,,,
m01oak49510Cz,m01oak49510Cz-t01.1,-3.10,D:PF00931,NB-ARC,NB-ARC domain
m01oak09700Cz,,-3.10,,,
m01oak14379CF,m01oak14379CF-t01.1,-3.10,AT5G27950,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
m01oak01752Cc,m01oak01752Cc-t01.1,-3.10,F:PF08392,FAE1_CUT1_RppA,FAE1/Type III polyketide synthase-like protein
m01oak26353Cz,,-3.10,,,
m01oak53013cf,m01oak53013cf-t01.1,-3.10,r:PF13855 r:PF00560,LRR_8 3x:LRR_1,Leucine rich repeat ~ Leucine Rich Repeat
m01oak23639cF,m01oak23639cF-t01.1,-3.10,F:PF12799 r:PF13516 r:PF13855 r:PF00560,LRR_4 2x:LRR_6 LRR_8 2x:LRR_1,Leucine Rich repeats (2 copies) ~ Leucine Rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak26894Cz,,-3.10,,,
m01oak18780cC,m01oak18780cC-t01.1,-3.10,F:PF01255,Prenyltransf,Putative undecaprenyl diphosphate synthase
m01oak45393Cz,,-3.10,,,
m01oak22942Cz,,-3.10,,,
m01oak37613Cf,m01oak37613Cf-t01.1,-3.10,D:PF00319,SRF-TF,SRF-type transcription factor (DNA-binding and dimerisation domain)
m01oak28053Ci,,-3.10,,,
m01oak06547cC,m01oak06547cC-t01.1,-3.10,AT2G30695,,unknown protein
m01oak10569cC,m01oak10569cC-t01.1,-3.10,r:PF00400,WD40,"WD domain, G-beta repeat"
m01oak61330Cz,,-3.10,,,
m01oak10226Cz,,-3.10,,,
m01oak61576CT,m01oak61576CT-t01.1,-3.10,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak59227Cz,,-3.10,,,
m01oak23443Cz,,-3.10,,,
m01oak34456Cz,,-3.10,,,
m01oak21357Cz,,-3.10,,,
m01oak00984Cz,,-3.10,,,
m01oak20015CT,,-3.10,,,
m01oak27790Cz,,-3.10,,,
m01oak33214Cz,,-3.10,,,
m01oak24518ci,,-3.10,,,
m01oak59026cf,,-3.10,,,
m01oak20167cC,m01oak20167cC-t01.1,-3.11,D:PF00505 D:PF09011,HMG_box HMG_box_2,HMG (high mobility group) box ~ HMG-box domain
m01oak01129CF,,-3.11,,,
m01oak39805Cz,,-3.11,,,
m01oak53131Cz,,-3.11,,,
m01oak02763CC,m01oak02763CC-t01.1,-3.11,F:PF01095 D:PF04043,Pectinesterase PMEI,Pectinesterase ~ Plant invertase/pectin methylesterase inhibitor
m01oak22886Cz,,-3.11,,,
m01oak02381cF,m01oak02381cF-t01.1,-3.11,D:PF12076 F:PF04116,Wax2_C FA_hydroxylase,WAX2 C-terminal domain ~ Fatty acid hydroxylase superfamily
m01oak25370Cz,,-3.11,,,
m01oak08796CC,,-3.11,,,
m01oak53577Cz,,-3.11,,,
m01oak67239Cz,,-3.11,,,
m01oak01868cC,m01oak01868cC-t01.1,-3.11,D:PF00544,Pec_lyase_C,Pectate lyase
m01oak11678cF,m01oak11678cF-t01.1,-3.11,AT2G14170,ALDH6B2,aldehyde dehydrogenase 6B2
m01oak40154Ci,m01oak40154Ci-t01.1,-3.11,D:PF13401 D:PF00931,AAA_22 NB-ARC,AAA domain ~ NB-ARC domain
m01oak38060Cz,,-3.11,,,
m01oak01265CC,m01oak01265CC-t01.1,-3.11,D:PF08240 F:PF00107,ADH_N ADH_zinc_N,Alcohol dehydrogenase GroES-like domain ~ Zinc-binding dehydrogenase
m01oak23974cF,m01oak23974cF-t01.1,-3.11,D:PF00931,NB-ARC,NB-ARC domain
m01oak08005Cz,,-3.11,,,
m01oak23180Cz,,-3.11,,,
m01oak37655Cz,,-3.11,,,
m01oak01754Ci,m01oak01754Ci-t01.1,-3.11,D:PF12695 D:PF12697,Abhydrolase_5 Abhydrolase_6,Alpha/beta hydrolase family ~ Alpha/beta hydrolase family
m01oak21505Cz,,-3.11,,,
m01oak25255Cf,,-3.11,,,
m01oak51114Cz,,-3.11,,,
m01oak52189Cz,,-3.11,,,
m01oak12006cC,m01oak12006cC-t01.1,-3.11,AT5G14390,,alpha/beta-Hydrolases superfamily protein
m01oak21705Cz,,-3.11,,,
m01oak75846Cz,,-3.11,,,
m01oak70559Cz,,-3.11,,,
m01oak23701cF,m01oak23701cF-t01.1,-3.11,F:PF01637 D:PF05729 D:PF00931 r:PF00560,Arch_ATPase NACHT NB-ARC 2x:LRR_1,Archaeal ATPase ~ NACHT domain ~ NB-ARC domain ~ Leucine Rich Repeat
m01oak54380cC,m01oak54380cC-t01.1,-3.11,r:PF00560,2x:LRR_1,Leucine Rich Repeat
m01oak52623Cz,,-3.11,,,
m01oak28008Cz,,-3.11,,,
m01oak02786CC,m01oak02786CC-t01.1,-3.11,F:PF03763,Remorin_C,"Remorin, C-terminal region"
m01oak46119Cz,,-3.11,,,
m01oak01375cC,m01oak01375cC-t01.1,-3.11,AT2G42320,,nucleolar protein gar2-related
m01oak58860Cz,,-3.11,,,
m01oak42869Ct,m01oak42869Ct-t01.1,-3.11,AT2G18196,,Heavy metal transport / detoxification superfamily protein
m01oak17588cf,m01oak17588cf-t01.1,-3.11,D:PF00135 D:PF07859,COesterase Abhydrolase_3,Carboxylesterase family ~ alpha/beta hydrolase fold
m01oak41590Cz,,-3.12,,,
m01oak20244Cz,,-3.12,,,
m01oak81881Jz,,-3.12,,,
m01oak10251cC,m01oak10251cC-t01.1,-3.12,AT2G41720,EMB2654,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak20813Cz,,-3.12,,,
m01oak41410Cz,,-3.12,,,
m01oak04170cC,m01oak04170cC-t01.1,-3.12,AT2G48120,PAC,pale cress protein (PAC)
m01oak11405Cz,,-3.12,,,
m01oak34546Jf,m01oak34546Jf-t01.1,-3.12,D:PF13961,2x:DUF4219,Domain of unknown function (DUF4219)
m01oak37421Cz,,-3.12,,,
m01oak32372Cz,,-3.12,,,
m01oak37377Cz,,-3.12,,,
m01oak16176Cz,,-3.12,,,
m01oak78647Cz,,-3.12,,,
m01oak21347CI,,-3.12,,,
m01oak05614cT,m01oak05614cT-t01.1,-3.12,AT4G17740,,Peptidase S41 family protein
m01oak13142CC,m01oak13142CC-t01.1,-3.12,AT2G45270,GCP1,glycoprotease 1
m01oak32903Cz,,-3.12,,,
m01oak59003Cz,,-3.12,,,
m01oak15380Cz,,-3.12,,,
m01oak27306Cz,,-3.12,,,
m01oak03575jC,m01oak03575jC-t01.1,-3.12,AT4G08920,CRY1,cryptochrome 1
m01oak34313Cz,,-3.12,,,
m01oak37360Cz,,-3.12,,,
m01oak12476Cz,,-3.12,,,
m01oak03988CC,m01oak03988CC-t01.1,-3.12,AT4G18570,,Tetratricopeptide repeat (TPR)-like superfamily protein
m01oak72704Cz,,-3.12,,,
m01oak15609cC,m01oak15609cC-t01.1,-3.12,r:PF13516 r:PF13855 r:PF00560 D:PF00069 D:PF07714,2x:LRR_6 LRR_8 2x:LRR_1 Pkinase Pkinase_Tyr,Leucine Rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat ~ Protein kinase domain ~ Protein tyrosine kinase
m01oak22574CT,,-3.12,,,
m01oak56240Cz,,-3.12,,,
m01oak53335Cz,,-3.12,,,
m01oak33283Cz,,-3.12,,,
m01oak29825Cz,,-3.12,,,
m01oak22636CT,,-3.12,,,
m01oak69352CC,,-3.12,,,
m01oak52046Cz,,-3.12,,,
m01oak15214CI,,-3.12,,,
m01oak23317Cz,,-3.13,,,
m01oak49820Jz,,-3.13,,,
m01oak60369Cz,,-3.13,,,
m01oak55162Cz,,-3.13,,,
m01oak61950Cz,,-3.13,,,
m01oak20952Cz,,-3.13,,,
m01oak55690Cz,,-3.13,,,
m01oak27460Cz,,-3.13,,,
m01oak35642Cz,,-3.13,,,
m01oak10316CC,m01oak10316CC-t01.1,-3.13,AT5G04900,NOL,NYC1-like
m01oak03065cC,m01oak03065cC-t01.1,-3.13,D:PF00168,C2,C2 domain
m01oak08208CC,m01oak08208CC-t01.1,-3.13,AT2G25220,,Protein kinase superfamily protein
m01oak48877Cz,,-3.13,,,
m01oak54792Cz,,-3.13,,,
m01oak19868CC,m01oak19868CC-t01.1,-3.13,D:PF00232,Glyco_hydro_1,Glycosyl hydrolase family 1
m01oak23685Ji,m01oak23685Ji-t01.1,-3.13,r:PF13855 D:PF00931 r:PF00560,LRR_8 NB-ARC LRR_1,Leucine rich repeat ~ NB-ARC domain ~ Leucine Rich Repeat
m01oak06408Cz,,-3.13,,,
m01oak40393Cz,,-3.13,,,
m01oak31123Cz,,-3.13,,,
m01oak75285Cz,,-3.13,,,
m01oak44780Cz,,-3.13,,,
m01oak46787cC,m01oak46787cC-t01.1,-3.13,AT5G03795,,Exostosin family protein
m01oak33181Cz,,-3.13,,,
m01oak54938Cz,,-3.13,,,
m01oak12822Cz,,-3.13,,,
m01oak26769Cz,,-3.13,,,
m01oak06950JC,m01oak06950JC-t01.1,-3.13,AT3G21215,,RNA-binding (RRM/RBD/RNP motifs) family protein
m01oak67683Jz,,-3.13,,,
m01oak57682Cz,,-3.13,,,
m01oak08358CC,m01oak08358CC-t01.1,-3.13,AT4G11970,,YTH family protein
m01oak21712Cz,,-3.13,,,
m01oak06283cC,m01oak06283cC-t01.1,-3.13,AT5G49030,OVA2,"tRNA synthetase class I (I, L, M and V) family protein"
m01oak21893jC,m01oak21893jC-t01.1,-3.13,D:PF00067,p450,Cytochrome P450
m01oak40258Cz,,-3.13,,,
m01oak48585Cz,,-3.13,,,
m01oak33957Ci,m01oak33957Ci-t01.1,-3.13,F:PF12799 r:PF13855 r:PF00560,LRR_4 LRR_8 LRR_1,Leucine Rich repeats (2 copies) ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak14919cC,m01oak14919cC-t01.1,-3.14,AT3G26115,,Pyridoxal-5'-phosphate-dependent enzyme family protein
m01oak34556Cz,,-3.14,,,
m01oak77636cF,m01oak77636cF-t01.1,-3.14,F:PF00954,S_locus_glycop,S-locus glycoprotein family
m01oak14326Cz,,-3.14,,,
m01oak19647Cz,,-3.14,,,
m01oak12428ci,m01oak12428ci-t01.1,-3.14,AT5G22620,,phosphoglycerate/bisphosphoglycerate mutase family protein
m01oak28411Cz,,-3.14,,,
m01oak67258Cz,,-3.14,,,
m01oak27465cC,m01oak27465cC-t01.1,-3.14,F:PF06364,DUF1068,Protein of unknown function (DUF1068)
m01oak20035Cz,,-3.14,,,
m01oak69486Cz,,-3.14,,,
m01oak39826Cz,,-3.14,,,
m01oak23815Cz,,-3.14,,,
m01oak59254Cz,,-3.14,,,
m01oak32783Jz,,-3.14,,,
m01oak70633Cz,,-3.14,,,
m01oak06259cC,m01oak06259cC-t01.1,-3.14,AT5G49760,,Leucine-rich repeat protein kinase family protein
m01oak03900cf,m01oak03900cf-t01.1,-3.14,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak22500Cz,,-3.14,,,
m01oak24893Jz,,-3.14,,,
m01oak39499Cz,,-3.14,,,
m01oak16361Ct,m01oak16361Ct-t01.1,-3.14,D:PF00232,Glyco_hydro_1,Glycosyl hydrolase family 1
m01oak05121cC,m01oak05121cC-t01.1,-3.14,AT5G26570,ATGWD3,"catalytics; carbohydrate kinases; phosphoglucan, water dikinases"
m01oak06676CC,m01oak06676CC-t01.1,-3.14,D:PF08718,GLTP,Glycolipid transfer protein (GLTP)
m01oak17630Cz,,-3.14,,,
m01oak38085Cz,,-3.14,,,
m01oak28213Cz,,-3.14,,,
m01oak13569Cz,,-3.14,,,
m01oak16084Cz,,-3.14,,,
m01oak44261Cz,,-3.14,,,
m01oak42424Cz,,-3.14,,,
m01oak19460Cz,,-3.14,,,
m01oak05437cC,m01oak05437cC-t01.1,-3.14,AT4G34500,,Protein kinase superfamily protein
m01oak50676Cz,,-3.14,,,
m01oak61421Cz,,-3.14,,,
m01oak26245Cz,,-3.14,,,
m01oak38964cf,m01oak38964cf-t01.1,-3.14,D:PF00931,NB-ARC,NB-ARC domain
m01oak09599cC,m01oak09599cC-t01.1,-3.14,AT5G13400,,Major facilitator superfamily protein
m01oak33198Cz,,-3.14,,,
m01oak47666Cz,,-3.14,,,
m01oak59120Cz,,-3.14,,,
m01oak15266Cz,,-3.14,,,
m01oak31197Cz,,-3.14,,,
m01oak06069cC,m01oak06069cC-t01.1,-3.14,F:PF10604 D:PF00407,Polyketide_cyc2 Bet_v_1,Polyketide cyclase / dehydrase and lipid transport ~ Pathogenesis-related protein Bet v I family
m01oak48796Cz,,-3.15,,,
m01oak22957Cz,,-3.15,,,
m01oak11622cC,m01oak11622cC-t01.1,-3.15,AT4G36020,CSDP1,cold shock domain protein 1
m01oak06969Ct,m01oak06969Ct-t01.1,-3.15,AT1G65590,HEXO3,beta-hexosaminidase 3
m01oak22749Cz,,-3.15,,,
m01oak33578Cz,,-3.15,,,
m01oak04833cf,,-3.15,,,
m01oak14595Cz,,-3.15,,,
m01oak22585Cz,,-3.15,,,
m01oak30879Cz,,-3.15,,,
m01oak15909Cz,,-3.15,,,
m01oak03849Cz,,-3.15,,,
m01oak27995Cz,,-3.15,,,
m01oak10116CF,m01oak10116CF-t01.1,-3.15,F:PF15044,CLU_N,"Mitochondrial function, CLU-N-term"
m01oak20189Ct,,-3.15,,,
m01oak16204cf,,-3.15,,,
m01oak42101Cz,,-3.15,,,
m01oak28885Cz,,-3.15,,,
m01oak42350Cz,,-3.15,,,
m01oak21108Cz,,-3.15,,,
m01oak46635Jz,,-3.15,,,
m01oak07284Cf,m01oak07284Cf-t01.1,-3.15,AT4G14200,,Pentatricopeptide repeat (PPR) superfamily protein
m01oak68741Cz,,-3.15,,,
m01oak55081Cz,,-3.15,,,
m01oak35571Cz,,-3.15,,,
m01oak57050Cz,,-3.15,,,
m01oak12866cC,m01oak12866cC-t01.1,-3.15,AT4G31850,PGR3,proton gradient regulation 3
m01oak71385Cz,,-3.15,,,
m01oak56480Cz,,-3.15,,,
m01oak24646Cz,,-3.15,,,
m01oak48920cF,m01oak48920cF-t01.1,-3.15,D:PF00564,PB1,PB1 domain
m01oak21404Cz,,-3.15,,,
m01oak06019cC,m01oak06019cC-t01.1,-3.15,F:PF00213,OSCP,ATP synthase delta (OSCP) subunit
m01oak51558Cz,,-3.15,,,
m01oak32579Cz,,-3.15,,,
m01oak03014CC,m01oak03014CC-t01.1,-3.15,AT4G03100,,Rho GTPase activating protein with PAK-box/P21-Rho-binding domain
m01oak30610Cz,,-3.15,,,
m01oak53097Cz,,-3.15,,,
m01oak28425Cz,,-3.15,,,
m01oak26923CT,,-3.15,,,
m01oak77404Jz,,-3.15,,,
m01oak48888Cz,,-3.15,,,
m01oak15522Cz,,-3.15,,,
m01oak41668Cz,,-3.15,,,
m01oak61621Cz,,-3.15,,,
m01oak58932Cz,,-3.15,,,
m01oak57686Cz,,-3.15,,,
m01oak23875cF,m01oak23875cF-t01.1,-3.15,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak37983Cz,,-3.15,,,
m01oak32081cF,m01oak32081cF-t01.1,-3.15,F:PF13968,DUF4220,Domain of unknown function (DUF4220)
m01oak34569cC,m01oak34569cC-t01.1,-3.15,D:PF12937 D:PF00646,F-box-like F-box,F-box-like ~ F-box domain
m01oak35588Cz,,-3.15,,,
m01oak30375CC,,-3.16,,,
m01oak01905CT,m01oak01905CT-t01.1,-3.16,m:PF06203,CCT,CCT motif
m01oak19196Cz,,-3.16,,,
m01oak05606cC,m01oak05606cC-t01.1,-3.16,AT5G64580,,AAA-type ATPase family protein
